Year,State Census Code,State,Sector,Obs,Employment (in 1000s),Members (in 1000s),Covered (in 1000s),% Mem,% Cov
1993,72,Louisiana,Priv. Construction,94,90,16,16,17.3%,17.3%
1993,11,Maine,Total,"1,703",494,69,79,14.0%,16.0%
1993,11,Maine,Public,274,79,37,44,47.5%,56.3%
1993,11,Maine,Private,"1,429",416,32,34,7.7%,8.3%
1993,11,Maine,Priv. Manufacturing,344,100,20,22,20.1%,21.5%
1993,11,Maine,Priv. Construction,59,17,1,1,4.3%,4.3%
1993,52,Maryland,Total,"1,892","2,289",354,402,15.5%,17.6%
1993,52,Maryland,Public,496,608,172,199,28.2%,32.7%
1993,52,Maryland,Private,"1,396","1,681",182,203,10.9%,12.1%
1993,52,Maryland,Priv. Manufacturing,150,176,43,43,24.7%,24.7%
1993,52,Maryland,Priv. Construction,83,98,13,15,13.6%,15.4%
1993,14,Massachusetts,Total,"7,146","2,642",453,487,17.2%,18.4%
1993,14,Massachusetts,Public,"1,032",377,230,246,61.0%,65.3%
1993,14,Massachusetts,Private,"6,114","2,264",223,241,9.8%,10.6%
1993,14,Massachusetts,Priv. Manufacturing,"1,279",472,64,68,13.7%,14.4%
1993,14,Massachusetts,Priv. Construction,238,89,23,24,26.3%,26.7%
1993,34,Michigan,Total,"7,678","3,966",968,"1,022",24.4%,25.8%
1993,34,Michigan,Public,"1,268",643,357,383,55.5%,59.6%
1993,34,Michigan,Private,"6,410","3,323",611,639,18.4%,19.2%
1993,34,Michigan,Priv. Manufacturing,"1,950","1,012",350,358,34.6%,35.4%
1993,34,Michigan,Priv. Construction,279,144,44,46,30.5%,31.9%
1993,41,Minnesota,Total,"2,186","2,031",429,461,21.1%,22.7%
1993,41,Minnesota,Public,411,371,199,216,53.6%,58.2%
1993,41,Minnesota,Private,"1,775","1,660",230,246,13.9%,14.8%
1993,41,Minnesota,Priv. Manufacturing,376,349,74,77,21.2%,22.2%
1993,41,Minnesota,Priv. Construction,73,69,21,21,30.6%,30.6%
1993,64,Mississippi,Total,"2,275","1,004",75,95,7.5%,9.5%
1993,64,Mississippi,Public,446,191,16,28,8.3%,14.5%
1993,64,Mississippi,Private,"1,829",813,59,68,7.3%,8.3%
1993,64,Mississippi,Priv. Manufacturing,540,244,35,39,14.3%,15.8%
1993,64,Mississippi,Priv. Construction,115,52,4,4,7.2%,8.0%
1993,43,Missouri,Total,"1,949","2,147",305,344,14.2%,16.0%
1993,43,Missouri,Public,299,317,66,88,21.0%,27.9%
1993,43,Missouri,Private,"1,650","1,830",238,255,13.0%,13.9%
1993,43,Missouri,Priv. Manufacturing,410,434,90,95,20.7%,21.9%
1993,43,Missouri,Priv. Construction,83,90,37,40,40.8%,44.1%
1993,81,Montana,Total,"2,158",315,59,67,18.6%,21.2%
1993,81,Montana,Public,593,87,33,39,37.7%,44.5%
1993,81,Montana,Private,"1,565",228,26,28,11.3%,12.4%
1993,81,Montana,Priv. Manufacturing,153,23,6,6,24.7%,25.9%
1993,81,Montana,Priv. Construction,93,15,3,3,21.7%,21.7%
1993,46,Nebraska,Total,"2,615",714,77,105,10.8%,14.8%
1993,46,Nebraska,Public,487,131,39,56,30.0%,42.8%
1993,46,Nebraska,Private,"2,128",582,38,49,6.5%,8.5%
1993,46,Nebraska,Priv. Manufacturing,377,104,13,17,12.9%,16.7%
1993,46,Nebraska,Priv. Construction,105,30,5,5,15.2%,16.1%
1993,88,Nevada,Total,"1,960",613,108,128,17.7%,20.9%
1993,88,Nevada,Public,291,90,33,44,37.2%,48.6%
1993,88,Nevada,Private,"1,669",523,75,84,14.3%,16.1%
1993,88,Nevada,Priv. Manufacturing,100,32,3,4,9.4%,12.1%
1993,88,Nevada,Priv. Construction,150,48,12,14,25.6%,29.9%
1993,12,New Hampshire,Total,"1,621",518,43,54,8.2%,10.5%
1993,12,New Hampshire,Public,210,66,23,31,34.9%,46.5%
1993,12,New Hampshire,Private,"1,411",452,20,24,4.4%,5.3%
1993,12,New Hampshire,Priv. Manufacturing,387,127,8,10,6.4%,8.0%
1993,12,New Hampshire,Priv. Construction,63,20,2,2,11.0%,11.0%
1993,22,New Jersey,Total,"7,541","3,307",733,791,22.2%,23.9%
1993,22,New Jersey,Public,"1,250",540,320,347,59.3%,64.3%
1993,22,New Jersey,Private,"6,291","2,768",413,444,14.9%,16.0%
1993,22,New Jersey,Priv. Manufacturing,"1,249",555,114,120,20.6%,21.6%
1993,22,New Jersey,Priv. Construction,250,110,33,34,30.4%,30.8%
1993,85,New Mexico,Total,"1,715",595,48,63,8.0%,10.6%
1993,85,New Mexico,Public,453,155,22,34,14.3%,22.0%
1993,85,New Mexico,Private,"1,262",440,25,29,5.8%,6.6%
1993,85,New Mexico,Priv. Manufacturing,120,41,3,3,6.2%,7.3%
1993,85,New Mexico,Priv. Construction,89,33,2,3,5.6%,9.2%
1993,21,New York,Total,"11,635","7,089","2,034","2,170",28.7%,30.6%
1993,21,New York,Public,"2,425","1,465","1,038","1,085",70.9%,74.1%
1993,21,New York,Private,"9,210","5,624",996,"1,085",17.7%,19.3%
1993,21,New York,Priv. Manufacturing,"1,654","1,011",249,259,24.7%,25.7%
1993,21,New York,Priv. Construction,406,254,94,100,37.1%,39.3%
1993,56,North Carolina,Total,"7,748","3,030",169,208,5.6%,6.9%
1993,56,North Carolina,Public,"1,286",501,80,102,16.0%,20.4%
1993,56,North Carolina,Private,"6,462","2,529",89,106,3.5%,4.2%
1993,56,North Carolina,Priv. Manufacturing,"2,158",850,44,49,5.2%,5.8%
1993,56,North Carolina,Priv. Construction,373,148,1,1,0.8%,1.0%
1993,44,North Dakota,Total,"2,277",247,22,28,9.0%,11.5%
1993,44,North Dakota,Public,546,57,14,18,24.3%,31.1%
1993,44,North Dakota,Private,"1,731",190,8,11,4.3%,5.6%
1993,44,North Dakota,Priv. Manufacturing,168,19,2,3,13.4%,16.3%
1993,44,North Dakota,Priv. Construction,87,10,1,1,10.6%,12.8%
1993,31,Ohio,Total,"8,222","4,659",962,"1,040",20.7%,22.3%
1993,31,Ohio,Public,"1,279",721,341,376,47.3%,52.1%
1993,31,Ohio,Private,"6,943","3,939",621,664,15.8%,16.9%
1993,31,Ohio,Priv. Manufacturing,"2,004","1,130",342,353,30.3%,31.3%
1993,31,Ohio,Priv. Construction,323,185,50,53,26.8%,28.6%
1993,73,Oklahoma,Total,"2,099","1,226",118,131,9.6%,10.7%
1993,73,Oklahoma,Public,464,267,47,56,17.7%,21.1%
1993,73,Oklahoma,Private,"1,635",958,70,75,7.3%,7.8%
1993,73,Oklahoma,Priv. Manufacturing,344,202,33,34,16.1%,16.8%
1993,73,Oklahoma,Priv. Construction,74,43,4,4,8.3%,8.3%
1993,92,Oregon,Total,"1,838","1,252",246,265,19.6%,21.1%
1993,92,Oregon,Public,369,248,129,140,51.9%,56.5%
1993,92,Oregon,Private,"1,469","1,004",117,124,11.7%,12.4%
1993,92,Oregon,Priv. Manufacturing,280,192,46,47,24.0%,24.4%
1993,92,Oregon,Priv. Construction,78,55,8,8,14.9%,14.9%
1993,23,Pennsylvania,Total,"7,882","4,956",935,"1,035",18.9%,20.9%
1993,23,Pennsylvania,Public,"1,072",664,344,394,51.9%,59.4%
1993,23,Pennsylvania,Private,"6,810","4,292",590,641,13.8%,14.9%
1993,23,Pennsylvania,Priv. Manufacturing,"1,530",960,236,244,24.5%,25.4%
1993,23,Pennsylvania,Priv. Construction,341,219,50,53,22.9%,24.1%
1993,15,Rhode Island,Total,"1,617",417,75,78,17.9%,18.6%
1993,15,Rhode Island,Public,233,61,38,38,62.4%,63.3%
1993,15,Rhode Island,Private,"1,384",356,37,39,10.3%,11.0%
1993,15,Rhode Island,Priv. Manufacturing,380,98,15,15,15.1%,15.3%
1993,15,Rhode Island,Priv. Construction,42,11,2,2,15.9%,15.9%
1993,57,South Carolina,Total,"2,313","1,516",64,89,4.2%,5.8%
1993,57,South Carolina,Public,392,253,25,37,9.9%,14.5%
1993,57,South Carolina,Private,"1,921","1,263",39,52,3.1%,4.1%
1993,57,South Carolina,Priv. Manufacturing,602,399,20,26,5.0%,6.4%
1993,57,South Carolina,Priv. Construction,110,76,1,2,1.4%,2.6%
1993,45,South Dakota,Total,"2,701",283,22,30,7.9%,10.7%
1993,45,South Dakota,Public,600,61,11,18,18.7%,28.8%
1993,45,South Dakota,Private,"2,101",222,11,13,4.9%,5.7%
1993,45,South Dakota,Priv. Manufacturing,369,40,5,6,12.0%,14.2%
1993,45,South Dakota,Priv. Construction,121,13,1,1,4.1%,5.8%
1993,62,Tennessee,Total,"2,232","2,082",230,260,11.0%,12.5%
1993,62,Tennessee,Public,354,328,80,94,24.5%,28.5%
1993,62,Tennessee,Private,"1,878","1,753",149,166,8.5%,9.5%
1993,62,Tennessee,Priv. Manufacturing,573,529,92,105,17.5%,19.8%
1993,62,Tennessee,Priv. Construction,91,86,8,8,9.4%,9.4%
1993,74,Texas,Total,"7,967","7,543",562,705,7.5%,9.3%
1993,74,Texas,Public,"1,509","1,392",261,356,18.7%,25.6%
1993,74,Texas,Private,"6,458","6,151",301,349,4.9%,5.7%
1993,74,Texas,Priv. Manufacturing,"1,081","1,051",96,105,9.1%,10.0%
1993,74,Texas,Priv. Construction,416,412,30,30,7.3%,7.3%
1993,87,Utah,Total,"2,108",779,77,105,9.8%,13.5%
1993,87,Utah,Public,471,172,45,64,26.2%,37.3%
1993,87,Utah,Private,"1,637",607,31,41,5.2%,6.7%
1993,87,Utah,Priv. Manufacturing,331,123,7,8,6.0%,6.2%
1993,87,Utah,Priv. Construction,88,32,4,4,11.5%,11.5%
1993,13,Vermont,Total,"1,441",253,25,30,9.9%,11.9%
1993,13,Vermont,Public,239,40,18,21,44.1%,52.9%
1993,13,Vermont,Private,"1,202",213,7,9,3.4%,4.1%
1993,13,Vermont,Priv. Manufacturing,248,45,2,3,5.5%,6.7%
1993,13,Vermont,Priv. Construction,62,11,1,1,7.0%,7.0%
1993,54,Virginia,Total,"2,620","2,881",249,318,8.6%,11.0%
1993,54,Virginia,Public,554,605,106,148,17.5%,24.5%
1993,54,Virginia,Private,"2,066","2,275",143,169,6.3%,7.4%
1993,54,Virginia,Priv. Manufacturing,381,416,62,67,14.9%,16.2%
1993,54,Virginia,Priv. Construction,134,153,10,10,6.8%,6.8%
1993,91,Washington,Total,"1,884","2,135",508,558,23.8%,26.1%
1993,91,Washington,Public,418,465,221,246,47.4%,52.8%
1993,91,Washington,Private,"1,466","1,670",288,312,17.2%,18.7%
1993,91,Washington,Priv. Manufacturing,266,299,89,99,29.7%,33.0%
1993,91,Washington,Priv. Construction,79,91,25,28,27.3%,31.1%
1993,55,West Virginia,Total,"1,775",644,113,128,17.5%,19.9%
1993,55,West Virginia,Public,365,133,32,42,24.1%,31.8%
1993,55,West Virginia,Private,"1,410",512,81,86,15.8%,16.8%
1993,55,West Virginia,Priv. Manufacturing,291,106,42,44,39.7%,41.3%
1993,55,West Virginia,Priv. Construction,64,24,7,7,28.2%,28.2%
1993,35,Wisconsin,Total,"2,864","2,289",443,472,19.3%,20.6%
1993,35,Wisconsin,Public,460,358,184,197,51.5%,54.9%
1993,35,Wisconsin,Private,"2,404","1,931",258,275,13.4%,14.2%
1993,35,Wisconsin,Priv. Manufacturing,730,587,161,167,27.3%,28.5%
1993,35,Wisconsin,Priv. Construction,120,98,28,28,28.4%,28.4%
1993,83,Wyoming,Total,"1,575",193,21,25,10.8%,13.2%
1993,83,Wyoming,Public,401,49,9,13,18.5%,25.8%
1993,83,Wyoming,Private,"1,174",144,12,13,8.2%,8.9%
1993,83,Wyoming,Priv. Manufacturing,73,9,1,1,9.2%,13.4%
1993,83,Wyoming,Priv. Construction,74,9,1,1,11.9%,11.9%
1994,63,Alabama,Total,"2,117","1,699",236,270,13.9%,15.9%
1994,63,Alabama,Public,380,299,99,113,33.1%,37.8%
1994,63,Alabama,Private,"1,737","1,399",137,157,9.8%,11.2%
1994,63,Alabama,Priv. Manufacturing,512,409,80,87,19.6%,21.2%
1994,63,Alabama,Priv. Construction,109,93,10,12,11.1%,13.4%
1994,94,Alaska,Total,"2,250",244,47,54,19.3%,22.3%
1994,94,Alaska,Public,734,81,31,36,38.0%,44.2%
1994,94,Alaska,Private,"1,516",163,16,19,10.0%,11.4%
1994,94,Alaska,Priv. Manufacturing,92,10,1,1,14.4%,14.4%
1994,94,Alaska,Priv. Construction,103,11,3,3,24.2%,25.5%
1994,86,Arizona,Total,"1,789","1,601",127,161,7.9%,10.1%
1994,86,Arizona,Public,342,302,62,82,20.5%,27.2%
1994,86,Arizona,Private,"1,447","1,298",65,79,5.0%,6.1%
1994,86,Arizona,Priv. Manufacturing,211,186,5,9,2.9%,5.0%
1994,86,Arizona,Priv. Construction,115,109,8,9,7.6%,8.6%
1994,71,Arkansas,Total,"2,055",972,77,98,7.9%,10.1%
1994,71,Arkansas,Public,338,157,23,34,14.9%,21.6%
1994,71,Arkansas,Private,"1,717",815,54,64,6.6%,7.9%
1994,71,Arkansas,Priv. Manufacturing,516,249,31,37,12.4%,14.8%
1994,71,Arkansas,Priv. Construction,89,43,2,3,4.1%,7.2%
1994,93,California,Total,"12,293","12,181","2,185","2,470",17.9%,20.3%
1994,93,California,Public,"2,074","2,063","1,061","1,242",51.4%,60.2%
1994,93,California,Private,"10,219","10,118","1,124","1,228",11.1%,12.1%
1994,93,California,Priv. Manufacturing,"2,096","2,029",223,251,11.0%,12.4%
1994,93,California,Priv. Construction,496,513,115,117,22.4%,22.7%
1994,84,Colorado,Total,"2,212","1,646",179,214,10.9%,13.0%
1994,84,Colorado,Public,388,284,78,96,27.4%,33.8%
1994,84,Colorado,Private,"1,824","1,362",102,119,7.5%,8.7%
1994,84,Colorado,Priv. Manufacturing,288,214,15,17,6.8%,8.1%
1994,84,Colorado,Priv. Construction,123,93,16,16,17.4%,17.4%
1994,16,Connecticut,Total,"1,702","1,451",290,298,20.0%,20.5%
1994,16,Connecticut,Public,253,217,143,147,65.8%,67.6%
1994,16,Connecticut,Private,"1,449","1,234",147,151,11.9%,12.3%
1994,16,Connecticut,Priv. Manufacturing,340,287,40,42,14.0%,14.4%
1994,16,Connecticut,Priv. Construction,61,50,13,13,26.8%,26.8%
1994,51,Delaware,Total,"1,612",332,44,49,13.3%,14.6%
1994,51,Delaware,Public,224,45,15,17,32.3%,37.1%
1994,51,Delaware,Private,"1,388",287,30,32,10.3%,11.1%
1994,51,Delaware,Priv. Manufacturing,306,63,14,15,22.0%,24.0%
1994,51,Delaware,Priv. Construction,82,17,2,2,11.6%,12.7%
1994,53,District of Columbia,Total,"1,546",262,40,51,15.3%,19.3%
1994,53,District of Columbia,Public,530,88,23,29,26.3%,33.0%
1994,53,District of Columbia,Private,"1,016",174,17,22,9.7%,12.4%
1994,53,District of Columbia,Priv. Manufacturing,52,8,1,2,15.6%,20.5%
1994,53,District of Columbia,Priv. Construction,40,7,2,2,22.1%,22.1%
1994,59,Florida,Total,"7,142","5,516",452,607,8.2%,11.0%
1994,59,Florida,Public,"1,154",872,258,348,29.6%,39.9%
1994,59,Florida,Private,"5,988","4,644",194,259,4.2%,5.6%
1994,59,Florida,Priv. Manufacturing,676,529,27,33,5.1%,6.2%
1994,59,Florida,Priv. Construction,375,307,19,23,6.3%,7.5%
1994,58,Georgia,Total,"2,443","3,070",244,288,8.0%,9.4%
1994,58,Georgia,Public,439,554,95,112,17.1%,20.2%
1994,58,Georgia,Private,"2,004","2,516",150,176,5.9%,7.0%
1994,58,Georgia,Priv. Manufacturing,470,608,60,66,9.8%,10.8%
1994,58,Georgia,Priv. Construction,107,137,13,16,9.8%,11.7%
1994,95,Hawaii,Total,"1,655",482,135,144,28.0%,29.9%
1994,95,Hawaii,Public,352,105,62,65,59.4%,61.8%
1994,95,Hawaii,Private,"1,303",377,73,79,19.3%,21.0%
1994,95,Hawaii,Priv. Manufacturing,50,14,3,3,24.1%,24.1%
1994,95,Hawaii,Priv. Construction,84,24,13,13,53.4%,53.4%
1994,82,Idaho,Total,"2,233",455,39,49,8.5%,10.7%
1994,82,Idaho,Public,447,89,19,24,21.1%,27.0%
1994,82,Idaho,Private,"1,786",366,20,25,5.4%,6.7%
1994,82,Idaho,Priv. Manufacturing,381,80,8,10,10.6%,12.3%
1994,82,Idaho,Priv. Construction,144,30,3,3,10.7%,10.7%
1994,33,Illinois,Total,"7,306","5,070","1,007","1,087",19.9%,21.4%
1994,33,Illinois,Public,"1,039",717,335,365,46.7%,50.9%
1994,33,Illinois,Private,"6,267","4,353",672,722,15.4%,16.6%
1994,33,Illinois,Priv. Manufacturing,"1,443","1,000",227,239,22.7%,24.0%
1994,33,Illinois,Priv. Construction,283,198,106,111,53.6%,55.9%
1994,32,Indiana,Total,"2,238","2,561",494,535,19.3%,20.9%
1994,32,Indiana,Public,300,327,102,127,31.0%,38.7%
1994,32,Indiana,Private,"1,938","2,234",393,408,17.6%,18.3%
1994,32,Indiana,Priv. Manufacturing,673,735,265,272,36.0%,37.0%
1994,32,Indiana,Priv. Construction,95,123,40,42,32.3%,34.5%
1994,42,Iowa,Total,"2,337","1,215",161,194,13.2%,15.9%
1994,42,Iowa,Public,409,212,67,86,31.6%,40.6%
1994,42,Iowa,Private,"1,928","1,003",94,107,9.4%,10.7%
1994,42,Iowa,Priv. Manufacturing,459,238,54,62,22.8%,26.0%
1994,42,Iowa,Priv. Construction,91,48,8,9,17.3%,18.5%
1994,47,Kansas,Total,"2,110","1,064",106,152,10.0%,14.3%
1994,47,Kansas,Public,415,206,38,60,18.5%,28.9%
1994,47,Kansas,Private,"1,695",858,68,93,8.0%,10.8%
1994,47,Kansas,Priv. Manufacturing,387,197,31,47,15.7%,23.9%
1994,47,Kansas,Priv. Construction,77,41,9,9,22.0%,22.0%
1994,61,Kentucky,Total,"1,978","1,491",171,200,11.5%,13.4%
1994,61,Kentucky,Public,353,267,46,61,17.1%,22.8%
1994,61,Kentucky,Private,"1,625","1,225",126,139,10.3%,11.4%
1994,61,Kentucky,Priv. Manufacturing,385,291,66,70,22.5%,24.1%
1994,61,Kentucky,Priv. Construction,90,67,12,12,17.5%,18.5%
1994,72,Louisiana,Total,"1,633","1,583",121,148,7.7%,9.4%
1994,72,Louisiana,Public,308,293,57,73,19.5%,25.0%
1994,72,Louisiana,Private,"1,325","1,291",64,75,5.0%,5.8%
1994,72,Louisiana,Priv. Manufacturing,172,167,24,26,14.1%,15.8%
1994,72,Louisiana,Priv. Construction,88,86,8,10,9.3%,11.3%
1994,11,Maine,Total,"1,547",460,72,80,15.6%,17.5%
1994,11,Maine,Public,253,73,38,44,52.1%,59.5%
1994,11,Maine,Private,"1,294",387,33,37,8.6%,9.5%
1994,11,Maine,Priv. Manufacturing,310,93,18,19,20.0%,20.6%
1994,11,Maine,Priv. Construction,55,17,1,1,4.2%,4.2%
1994,52,Maryland,Total,"1,858","2,324",372,434,16.0%,18.7%
1994,52,Maryland,Public,456,564,182,219,32.4%,38.9%
1994,52,Maryland,Private,"1,402","1,761",189,215,10.8%,12.2%
1994,52,Maryland,Priv. Manufacturing,181,225,54,56,24.0%,25.0%
1994,52,Maryland,Priv. Construction,87,109,18,20,16.7%,18.0%
1994,14,Massachusetts,Total,"7,147","2,639",419,454,15.9%,17.2%
1994,14,Massachusetts,Public,984,357,205,222,57.4%,62.2%
1994,14,Massachusetts,Private,"6,163","2,281",214,231,9.4%,10.1%
1994,14,Massachusetts,Priv. Manufacturing,"1,208",442,52,54,11.7%,12.2%
1994,14,Massachusetts,Priv. Construction,271,101,19,20,18.7%,20.2%
1994,34,Michigan,Total,"7,597","4,034",961,"1,028",23.8%,25.5%
1994,34,Michigan,Public,"1,144",586,329,352,56.1%,60.0%
1994,34,Michigan,Private,"6,453","3,448",632,677,18.3%,19.6%
1994,34,Michigan,Priv. Manufacturing,"1,941","1,029",342,354,33.2%,34.4%
1994,34,Michigan,Priv. Construction,275,147,46,48,31.7%,32.4%
1994,41,Minnesota,Total,"2,152","2,101",413,443,19.7%,21.1%
1994,41,Minnesota,Public,369,343,194,209,56.5%,61.0%
1994,41,Minnesota,Private,"1,783","1,758",220,233,12.5%,13.3%
1994,41,Minnesota,Priv. Manufacturing,378,368,60,65,16.2%,17.6%
1994,41,Minnesota,Priv. Construction,86,83,22,23,26.5%,27.5%
1994,64,Mississippi,Total,"2,185","1,038",67,85,6.4%,8.2%
1994,64,Mississippi,Public,381,176,21,27,11.7%,15.5%
1994,64,Mississippi,Private,"1,804",862,46,58,5.3%,6.7%
1994,64,Mississippi,Priv. Manufacturing,486,229,26,33,11.5%,14.3%
1994,64,Mississippi,Priv. Construction,117,56,3,4,5.1%,6.6%
1994,43,Missouri,Total,"1,871","2,219",329,362,14.8%,16.3%
1994,43,Missouri,Public,269,314,67,82,21.5%,26.3%
1994,43,Missouri,Private,"1,602","1,905",262,280,13.7%,14.7%
1994,43,Missouri,Priv. Manufacturing,364,421,89,94,21.2%,22.3%
